word,hiragana,katakana,BCCWJ_LUW_rank,cejc_combined_rank,cejc_small_talk_rank,cejc_consultation_rank,cejc_meeting_rank,cejc_class_rank,cejc_outdoors_rank,cejc_school_rank,cejc_transportation_rank,cejc_public_commercial_rank,cejc_home_rank,cejc_indoors_rank,cejc_workplace_rank,cejc_male_rank,cejc_female_rank,ADNO,ANIME_JDRAMA,AOZORA_BUNKO,BCCWJ_SUW,CC100,CHRISKEMPSON,DAVE_DOEBRICK,DD2_MIGAKU_NETFLIX,DD2_MORPHMAN_NETFLIX,DD2_MORPHMAN_NOVELS,DD2_MORPHMAN_SHONEN,DD2_MORPHMAN_SOL,DD2_YOMICHAN_NOVELS,DD2_YOMICHAN_SHONEN,DD2_YOMICHAN_SHONEN_STARS,DD2_YOMICHAN_SOL,DD2_YOMICHAN_VN,HERMITDAVE_2016,HERMITDAVE_2018,HINGSTON,H_FREQ,ILYASEMENOV,INNOCENT_RANKED,JITEN_ANIME,JLAB,JPDB,MALTESAA_CSJ,MALTESAA_CSJ_DOKWA_GAKKAI,MALTESAA_CSJ_DOKWA_MOGI,MALTESAA_CSJ_DOKWA_ROUDOKU,MALTESAA_CSJ_DOKWA_SAIRO,MALTESAA_CSJ_DOKWA_SONOTA,MALTESAA_CSJ_TAIKA_JIYU,MALTESAA_CSJ_TAIKA_KADAI,MALTESAA_CSJ_TAIKA_MOGI,MALTESAA_NWJC,NAROU,NETFLIX,NIER,NOVELS,RSPEER,VN_FREQ,WIKIPEDIA_V2,YOUTUBE_FREQ,YOUTUBE_FREQ_V3
戻れる,-,-,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,4,4,1,3,1,1,1,4,4,4,4,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,3,2,1,2,3,3
郵送する,-,-,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
アダム,アダム,アダム,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,3,2,2,4,1,1,2,1,1,2,1,1,1,2,4,4,2,1,4,2,2,1,3,2,2,2,2,2,2,2,2,2,2,1,4,5,2,3,1,3,3,3
今頃,いまごろ,イマゴロ,3,3,4,3,3,4,3,3,3,3,3,4,2,3,3,1,4,4,3,3,4,4,4,4,3,4,4,4,4,4,4,3,4,4,3,3,1,3,4,4,3,3,2,3,3,3,4,3,3,3,3,4,4,1,3,3,4,1,2,2
逆転する,-,-,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
括る,くくる,ククル,3,2,2,3,3,4,3,3,3,2,3,3,2,2,2,1,3,1,3,2,2,2,2,2,2,2,2,3,2,3,2,2,1,1,1,3,1,2,2,3,4,3,4,3,3,3,3,3,3,3,2,3,2,1,2,1,3,2,2,2
痺れる,しびれる,シビレル,3,2,2,2,3,4,4,3,3,3,2,2,2,2,3,1,3,1,3,2,3,2,3,3,3,3,2,3,2,2,3,4,1,1,1,5,1,3,3,2,4,2,2,2,2,2,2,2,2,2,3,3,2,1,3,1,4,1,2,2
背ける,そむける,ソムケル,3,2,1,3,3,4,4,3,3,2,2,2,2,2,2,1,2,1,2,2,1,2,2,2,2,2,3,4,2,2,3,3,1,1,1,3,1,1,1,3,3,1,1,2,1,1,1,1,1,1,1,3,2,3,3,1,4,1,2,2
太刀,たち,タチ,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,5,2,2,2,2,3,3,1,3,3,3,5,3,5,5,2,2,2,3,2,2,5,1,2,1,1,1,1,1,1,1,2,3,2,5,3,2,3,2,5,5
ちょい,ちょい,チョイ,3,5,5,4,4,4,4,5,5,4,5,4,4,5,4,1,3,1,3,2,4,3,3,3,3,4,4,3,4,4,4,3,3,3,3,1,1,2,3,4,4,2,2,3,2,2,2,2,2,2,4,3,3,1,2,3,3,1,3,4
定価,ていか,テイカ,3,2,2,3,3,4,3,3,3,3,2,2,3,2,3,2,1,2,3,3,1,1,1,1,1,1,2,1,1,1,2,1,1,1,3,1,1,1,2,1,1,2,1,2,2,2,2,2,2,2,3,1,1,3,1,3,1,2,3,2
適応する,-,-,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
フルーツ,フルーツ,フルーツ,3,4,4,4,3,4,3,3,3,4,4,2,2,4,4,2,3,1,3,3,2,3,3,1,2,1,1,2,2,2,3,2,3,3,3,3,2,1,2,3,4,3,2,4,3,3,3,3,3,3,4,3,3,1,2,3,3,2,2,4
会費,かいひ,カイヒ,3,3,3,2,4,4,3,4,3,3,4,3,2,2,4,2,1,2,3,3,2,1,2,2,1,1,2,2,1,1,2,1,2,2,3,1,1,1,1,2,1,3,2,3,3,3,3,5,3,3,3,1,1,1,1,2,2,1,2,2
くっきり,くっきり,クッキリ,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,2,2,3,2,2,3,2,2,2,3,1,1,2,3,1,3,1,2,4,2,2,2,2,2,2,2,2,2,2,2,1,1,3,2,3,1,3,2
軍事力,ぐんじりょく,グンジリョク,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2
現存する,-,-,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
主務大臣,しゅむだいじん,シュムダイジン,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
蝉,せみ,セミ,3,3,4,2,3,4,3,3,3,4,2,2,2,2,4,1,2,4,3,2,3,1,1,2,3,2,4,3,1,1,2,2,1,1,2,2,1,3,3,1,2,2,1,3,2,2,2,2,2,2,3,2,2,1,2,2,3,2,1,2
谷間,たにま,タニマ,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,2,2,1,2,2,2,3,2,2,3,2,2,2,3,2,2,2,5,1,3,1,2,1,2,3,2,2,2,2,2,2,2,2,3,2,1,3,2,4,2,1,1
