word,JPDB_rank,CEJC_rank,ADNO,ANIME_JDRAMA,AOZORA_BUNKO,BCCWJ,CC100,CHRISKEMPSON,DAVE_DOEBRICK,DD2_MIGAKU_NETFLIX,DD2_MIGAKU_NOVELS,DD2_MORPHMAN_NETFLIX,DD2_MORPHMAN_NOVELS,DD2_MORPHMAN_SHONEN,DD2_MORPHMAN_SOL,DD2_YOMICHAN_NOVELS,DD2_YOMICHAN_SHONEN,DD2_YOMICHAN_SHONEN_STARS,DD2_YOMICHAN_SOL,DD2_YOMICHAN_VN,HERMITDAVE_2016,HERMITDAVE_2018,H_FREQ,ILYASEMENOV,INNOCENT_RANKED,JITEN_ANIME,KOKUGOJITEN,MONODICTS,NAROU,NETFLIX,NIER,NOVELS,VN_FREQ,WIKIPEDIA_V2,YOUTUBE_FREQ,YOUTUBE_FREQ_V3
じしん,22060,1902,298,1640,289,1050,459,2231,2236,16540,-1,1266,416,990,2175,271,990,917,2104,819,513,545,1247,7669,730,1476,4188,2784,418,2317,826,409,480,406,848,49505
おんせん,22065,851,15366,2469,2363,3694,1621,2855,5386,24592,-1,4581,3623,2872,1614,3364,2872,2677,1560,4853,18342,11657,2821,7053,4823,4355,1548,1668,2014,5529,-1,2923,3891,1018,2597,47243
ねんど,22068,7460,9816,17518,8854,14502,13193,19104,14790,12007,-1,12313,12612,10831,5936,8706,10831,10162,5721,15717,14076,11731,16016,-1,13521,19317,5150,5307,9206,15143,2480,13990,13259,13450,7919,31857
いりぐち,22079,1782,7575,3536,801,3623,2987,5429,3987,3566,-1,3661,3818,2773,5648,1223,2773,2581,5446,2371,3385,3652,790,24724,3894,3125,3490,5227,1017,4166,2219,2212,1211,8656,3026,3738
どうぐ,22093,2319,3482,1953,1189,4404,2736,3012,2265,20296,-1,1815,2143,2011,2385,1284,2011,1866,2310,2549,2119,2316,1379,12519,2542,2201,936,935,1240,2363,3092,1767,1620,3449,2039,92530
しげき,22205,2944,4106,4779,4294,4000,1443,4823,3097,2237,-1,2305,3441,4737,3538,2001,4737,4429,3413,694,2560,2808,136,15239,3941,3649,1801,1744,2713,3156,-1,1535,497,5784,2809,71676
しぶ,22254,4880,2887,5178,13976,10360,5271,11026,10114,8854,-1,9081,16094,7679,6008,8837,7679,7183,5788,8557,11296,7752,20656,19209,15837,21387,7068,18057,3396,10400,-1,10538,17317,2570,6084,49779
ひがし,22298,1703,8339,1636,750,2347,3147,935,20720,22076,-1,2546,731,2676,4445,1069,2676,2489,12529,4900,1869,1890,13178,22669,2113,3205,4859,7629,1972,21296,2980,1345,5924,8272,2502,65928
べんり,22300,1567,9996,4502,2016,3257,621,5811,5409,4464,-1,4577,5168,3896,4835,3887,3896,3639,4659,4783,5592,6273,2953,-1,5617,3541,7715,5805,1693,5312,2515,3991,3143,9575,758,52748
しや,22322,10047,8485,11864,5781,7476,3528,6854,11469,9648,-1,9896,6765,9509,14152,5018,9509,8914,13590,8395,10038,10428,4418,-1,4212,15268,11784,9315,6176,11868,-1,7081,6523,11059,6593,4940
