word,ANIME_JDRAMA_rank,CEJC_rank,ADNO,AOZORA_BUNKO,BCCWJ,CC100,CHRISKEMPSON,DAVE_DOEBRICK,DD2_MIGAKU_NETFLIX,DD2_MIGAKU_NOVELS,DD2_MORPHMAN_NETFLIX,DD2_MORPHMAN_NOVELS,DD2_MORPHMAN_SHONEN,DD2_MORPHMAN_SOL,DD2_YOMICHAN_NOVELS,DD2_YOMICHAN_SHONEN,DD2_YOMICHAN_SHONEN_STARS,DD2_YOMICHAN_SOL,DD2_YOMICHAN_VN,HERMITDAVE_2016,HERMITDAVE_2018,H_FREQ,ILYASEMENOV,INNOCENT_RANKED,JITEN_ANIME,JPDB,KOKUGOJITEN,MONODICTS,NAROU,NETFLIX,NIER,NOVELS,VN_FREQ,WIKIPEDIA_V2,YOUTUBE_FREQ,YOUTUBE_FREQ_V3
ウーン,21984,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23817,-1,-1,-1,14224,13343,14311,-1,5724,6934,-1,-1,-1,22303,-1,-1,-1,-1,-1,5145,-1,-1,-1,11648,20646
うかうか,21985,20704,-1,-1,-1,-1,-1,-1,-1,5290,-1,23467,16132,17687,16943,16132,15115,16992,23854,-1,-1,-1,-1,-1,17325,6075,-1,-1,22127,-1,5797,-1,16111,-1,-1,49388
エツ子,21986,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
オタ,21987,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19512,21122,-1,-1,-1,-1,-1,9961,6168,-1,-1,-1,-1,-1,-1,-1,-1,-1,54138
おびただしい,21988,-1,-1,-1,17301,-1,-1,-1,-1,1771,-1,6267,16181,-1,3798,16181,15161,-1,19878,-1,-1,-1,-1,5854,-1,4016,-1,-1,11421,-1,5219,11120,8982,-1,-1,34649
カリ,21989,-1,10150,23380,-1,-1,-1,6602,8143,-1,-1,13815,-1,4933,13046,11760,11029,4754,6546,9126,12624,-1,12580,-1,-1,3906,8673,15663,19875,6865,-1,8284,6313,13722,7804,23557
かるた,21990,-1,-1,18793,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1360,-1,-1,-1,-1,-1,-1,-1,12968,-1,24796,-1,-1,-1,-1,-1,22771,-1,17481
クックッ,21991,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23146,-1,-1,-1,-1,-1,19592,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
くよくよ,21992,-1,-1,-1,-1,22818,21234,-1,24388,4620,-1,19643,-1,-1,13795,-1,23773,-1,-1,23688,21993,22237,-1,19331,21262,7032,-1,23198,-1,-1,-1,-1,14916,-1,-1,31543
ケジメ,21993,-1,-1,-1,-1,-1,-1,18661,15647,-1,-1,-1,-1,-1,-1,14011,13138,17287,15464,24034,22860,-1,-1,-1,23168,-1,-1,-1,-1,19217,-1,-1,-1,-1,-1,79342
ゴメス,21994,10047,18646,-1,-1,-1,-1,17672,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12945,15510,-1,3551,-1,-1,-1,-1,-1,-1,18231,-1,-1,-1,24450,-1,69589
コンクリート,21995,6881,3940,-1,8043,5807,19698,10455,8670,-1,-1,4094,-1,-1,2876,19748,18506,16058,9414,8648,9140,11481,16150,4185,20498,2009,5122,5653,12005,10878,4117,4658,7594,6323,6948,6456
じらす,21996,-1,-1,-1,-1,-1,-1,15861,13708,5453,14069,-1,15058,-1,19606,15058,14120,-1,11645,-1,-1,662,-1,-1,20710,6047,-1,-1,15839,16378,-1,12613,2957,-1,23207,49548
すす,21997,20704,-1,3016,-1,-1,14560,13679,12410,1343,12727,18604,14286,11283,2704,14286,13396,10848,11171,17398,18166,-1,-1,14708,7951,6397,6539,7636,18395,14154,-1,20127,12045,-1,-1,27482
ズタズタ,21998,-1,-1,-1,-1,-1,-1,14060,12036,-1,-1,-1,-1,-1,-1,11902,11162,-1,19891,13600,15587,8378,-1,-1,15171,3710,-1,-1,-1,14536,6864,-1,-1,-1,22211,38096
スチール,21999,20704,12656,-1,21766,12228,24463,23815,18380,-1,-1,15300,-1,-1,10487,-1,-1,-1,-1,8918,10991,-1,10682,16396,-1,9426,18698,-1,20450,24466,-1,18304,23061,10434,11344,15282
スッポン,22000,-1,-1,-1,-1,-1,-1,22491,18407,-1,-1,-1,-1,-1,-1,16231,15205,11951,-1,-1,-1,19795,-1,-1,-1,10134,-1,-1,-1,23113,-1,-1,-1,-1,-1,23953
ちゅうちょ,22001,13446,18744,1634,17502,5517,12862,16504,13896,-1,14030,5590,8087,13723,3130,14010,13137,13186,3547,6326,6586,18967,-1,5656,18811,10769,-1,22984,3462,17081,-1,4079,2762,19840,11641,35496
ちんたら,22002,16266,-1,-1,-1,-1,-1,-1,-1,9356,-1,-1,10681,16100,-1,10681,10020,18249,-1,-1,-1,21583,-1,-1,20702,7224,-1,-1,20148,-1,-1,-1,15732,-1,-1,59460
つきあわせる,22003,-1,-1,-1,-1,-1,-1,-1,-1,4544,24673,-1,17424,10176,14900,17424,16327,9792,23280,-1,-1,-1,-1,-1,12502,6161,24719,-1,9897,-1,-1,24459,5414,-1,-1,84548
つくし,22004,-1,23382,12874,-1,-1,6252,18765,-1,-1,-1,19620,-1,22063,-1,-1,-1,21216,-1,-1,-1,-1,-1,21501,20670,14120,11180,13171,-1,19388,-1,24608,-1,23531,-1,27157
ティ,22005,-1,5905,-1,-1,-1,3752,-1,-1,-1,-1,-1,-1,-1,13776,-1,-1,-1,-1,23073,21292,-1,3983,1667,4092,8929,-1,-1,-1,-1,-1,6907,-1,-1,-1,17326
