word,combined_rank,small_talk_rank,consultation_rank,meeting_rank,class_rank,outdoors_rank,school_rank,transportation_rank,public_commercial_rank,home_rank,indoors_rank,workplace_rank,male_rank,female_rank,ADNO,ANIME_JDRAMA,AOZORA_BUNKO,BCCWJ,CC100,CHRISKEMPSON,DAVE_DOEBRICK,DD2_MIGAKU_NETFLIX,DD2_MIGAKU_NOVELS,DD2_MORPHMAN_NETFLIX,DD2_MORPHMAN_NOVELS,DD2_MORPHMAN_SHONEN,DD2_MORPHMAN_SOL,DD2_YOMICHAN_NOVELS,DD2_YOMICHAN_SHONEN,DD2_YOMICHAN_SHONEN_STARS,DD2_YOMICHAN_SOL,DD2_YOMICHAN_VN,HERMITDAVE_2016,HERMITDAVE_2018,H_FREQ,ILYASEMENOV,INNOCENT_RANKED,JITEN_ANIME,JPDB,KOKUGOJITEN,MONODICTS,NAROU,NETFLIX,NIER,NOVELS,VN_FREQ,WIKIPEDIA_V2,YOUTUBE_FREQ,YOUTUBE_FREQ_V3
はあ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,1,3,2,5,5,5,1,5,4,5,5,4,5,5,5,5,2,1,1,1,4,5,1,1,2,1,5,4,4,1,1,3,3
買う,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,1,5,5,4,4,4,5,5,5,5,5,4,5,5
や,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,1,5,1,5,5,5,5,1,5,5,5,1,5,5,5
飲む,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,1,5,5,4,5,5,5,5,4,5,5,4,5,5
聞く,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,1,5,5,5,5,5,5,5,5,5,5,4,5,5
四,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,3,4,2,1,1,5,1,1,5,3,3,3,5,4,4,4,3,5,4,1,5,5,5,4,4,5,5,5,5,4
えー,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,1,3,3,1,4,4,1,5,3,5,5,1,4,4,4,4,4,4,1,1,1,4,1,1,1,1,4,4,4,1,1,5,5
家,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,1,5,5,5,5,4,5,5,5,5,5
わ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,1,5,4,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,1,3,5,5,5,5,5,1,5,5,5,1,5,5,5
成る程,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,1,4,3,5,5,5,5,5,5,5,5,5,5,5,5,2,4,4,2,2,5,5,5,2,1,5,5,5,5,5,2,4,1
つ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,1,3,4,5,4,5,5,5,5,5,5,5,5,5,5
気,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,1,5,5,5,5,5,5,5,4,5,5
余り,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,2,1,5,5,1,2,2,5,4,4,4,5,4,2,2,2,3,3,3,4,1,1,5,5,3,4,5,2,3,4,5,3,4,3
円,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,4,4,1,3,5,4,2,4,4,4,5,4,4,4,5,3,1,4,2,5,5,4,4,3,5,4,5,5,5
二十,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,1,5,5,3,2,1,1,1,1,1,1,1,5,1,1,2,1,3,3,1,1,5,2,2,1,1,4,1,3,5,3,1,1,3
