word,NETFLIX_rank,CEJC_rank,ADNO,ANIME_JDRAMA,AOZORA_BUNKO,BCCWJ,CC100,CHRISKEMPSON,DAVE_DOEBRICK,DD2_MIGAKU_NETFLIX,DD2_MIGAKU_NOVELS,DD2_MORPHMAN_NETFLIX,DD2_MORPHMAN_NOVELS,DD2_MORPHMAN_SHONEN,DD2_MORPHMAN_SOL,DD2_YOMICHAN_NOVELS,DD2_YOMICHAN_SHONEN,DD2_YOMICHAN_SHONEN_STARS,DD2_YOMICHAN_SOL,DD2_YOMICHAN_VN,HERMITDAVE_2016,HERMITDAVE_2018,H_FREQ,ILYASEMENOV,INNOCENT_RANKED,JITEN_ANIME,JPDB,KOKUGOJITEN,MONODICTS,NAROU,NIER,NOVELS,VN_FREQ,WIKIPEDIA_V2,YOUTUBE_FREQ,YOUTUBE_FREQ_V3
お話し,6006,-1,-1,2828,-1,-1,2599,1968,5769,-1,-1,-1,3452,-1,-1,-1,-1,-1,-1,5348,-1,-1,2671,-1,3096,6795,8258,-1,-1,-1,3800,-1,-1,-1,2316,716
ニセ,6007,-1,-1,4677,-1,-1,-1,-1,5770,8857,-1,-1,13181,-1,-1,-1,18973,17777,11319,17340,8588,9459,-1,-1,-1,16183,5965,-1,-1,-1,-1,24731,-1,15455,19285,27064
白状,6008,-1,-1,9255,2244,-1,-1,8454,5773,5086,-1,5216,5578,12640,13008,4458,12640,11854,12507,10143,3977,4550,5522,-1,5670,9331,-1,18511,21594,10308,-1,8443,7113,-1,-1,37133
ガッカリ,6011,-1,-1,13924,-1,-1,19558,-1,5758,5093,-1,-1,-1,-1,-1,-1,12590,11804,11593,12700,7356,8577,5490,-1,-1,10698,-1,-1,-1,-1,-1,22562,-1,-1,7803,18139
クモ,6012,-1,8296,5183,-1,-1,-1,8519,5775,4596,-1,-1,15109,-1,-1,-1,5131,4786,11397,-1,3339,4113,-1,15167,16232,13340,3957,6731,10963,-1,-1,19302,-1,10229,17943,11143
ひざまずく,6013,-1,-1,12691,-1,17941,-1,-1,5776,5137,1905,5267,6187,11146,16474,5328,11146,10455,15826,18810,-1,-1,6177,-1,24938,11692,3340,-1,23720,3755,-1,10965,5910,-1,23972,44441
智,6014,-1,6235,9081,3871,8956,11236,13079,6344,14660,-1,15047,1108,21576,2537,11981,21576,20233,2452,4097,486,514,-1,12770,1382,3315,-1,2428,2357,-1,3629,5914,14528,2864,8393,20541
炒める,6015,3103,-1,12632,-1,5355,10181,10077,5756,5744,4040,5890,18699,10395,8426,10828,10395,9745,8112,12399,-1,-1,10513,-1,8434,18624,13715,10828,19139,8318,-1,22709,8212,21263,3966,4518
物質,6016,4880,1587,5789,3463,2322,1816,8834,5805,2647,-1,2726,3528,3284,11226,2809,3284,3063,10794,7117,1860,2059,6476,15317,5129,7245,-1,593,587,4568,2967,2729,4945,2071,5183,3212
罪人,6017,-1,22094,7822,3658,-1,20925,10272,5815,5180,-1,5310,7957,4640,-1,5930,4640,4337,24141,10465,6036,6678,9367,-1,8045,11081,-1,3216,3057,6302,-1,8407,9440,22949,-1,12225
降参,6018,-1,-1,7460,6186,-1,-1,12383,5780,5083,-1,5213,12623,3613,5310,9416,3613,3372,5120,8029,4998,5627,2209,-1,12631,6683,-1,17356,14374,6177,-1,10897,6316,-1,19733,30636
外傷,6019,-1,14164,10991,-1,22474,13368,8547,5793,4590,-1,4708,18001,18241,-1,13496,18241,17097,-1,14440,5452,5954,-1,-1,21901,19930,-1,11712,11761,10924,-1,19198,9209,16016,-1,36435
感激,6020,8967,21750,6764,2169,13162,6100,10184,6239,5378,-1,5510,6509,8788,7054,5011,8788,8227,6787,7692,7541,7919,7148,-1,6593,7193,-1,-1,23662,7993,6870,7378,5093,21774,19572,17994
楓,6021,-1,18456,3473,5533,24639,19123,19402,5783,13205,-1,13550,9401,6164,2075,15539,6164,5765,2005,15232,-1,23726,1248,20340,-1,18771,9272,9948,14561,12644,-1,3851,22787,7911,-1,27783
滞在,6022,6881,2629,12631,3361,7149,2023,12543,5784,4217,-1,4325,3736,9358,9204,2813,9358,8771,8854,9270,2655,2855,13519,-1,4507,9225,-1,11414,7486,2636,3402,4611,5628,4023,7748,5053
立,6023,7460,286,7436,11,6567,5156,5152,9859,5736,1422,5882,3155,12184,3732,1833,12184,11425,3599,10898,436,465,12221,-1,3950,5665,-1,836,1095,8774,4446,4267,5716,2341,6119,4398
裏切り,6024,-1,9405,6766,-1,23244,14417,-1,5779,3545,-1,3640,9117,2965,8442,3875,2965,2766,8128,7821,2006,2116,6963,24738,-1,6904,-1,-1,-1,5681,2714,6998,5083,10740,15987,12631
セブン,6025,1902,5966,6959,-1,11781,4351,12114,5790,5070,-1,-1,-1,-1,-1,14401,6984,6538,5551,-1,12481,12625,-1,1865,24371,12140,6245,-1,-1,20300,-1,22090,-1,4233,5633,3857
出世,6027,16266,8921,3865,3233,12859,9174,2875,5822,4838,-1,4963,5329,6955,10670,3811,6955,6511,10261,15057,6392,6873,11126,-1,5824,7482,-1,6258,4629,5091,-1,5224,11565,9216,8706,9514
実感,6028,6059,19091,7395,3390,6345,1178,6596,5772,5084,-1,5214,4054,6242,5448,3070,6242,5837,5252,2337,9254,8956,2091,-1,4130,5909,-1,-1,-1,2561,5769,2751,1804,23053,3721,2762
いつの間に,6029,-1,-1,2832,-1,-1,-1,-1,5788,-1,-1,-1,11463,-1,-1,-1,-1,-1,-1,3997,-1,-1,4489,-1,-1,1970,4209,-1,-1,-1,-1,-1,-1,-1,21998,-1
スマホ,6030,1128,21316,8060,-1,-1,695,3836,5789,5726,-1,5872,-1,16797,5810,-1,16797,15739,5601,6507,-1,9868,-1,-1,-1,5616,1023,-1,-1,6520,-1,3002,5743,-1,269,985
指図,6031,13446,-1,8346,3087,24718,24909,7752,5794,5094,-1,5224,6842,6245,12935,4390,6245,5840,12438,16844,7069,7437,-1,-1,6301,8753,-1,8323,8578,15389,-1,9856,13030,-1,-1,42356
無敵,6032,20704,16119,4483,22446,-1,18946,11244,5824,4894,-1,5019,16756,2983,5528,11779,2983,2781,5330,5967,6140,6361,10099,-1,20337,4203,23583,-1,-1,5513,1563,12751,5288,8175,9820,9508
美遊,6034,-1,-1,-1,-1,-1,-1,-1,5795,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,137108
