word,hiragana,katakana,BCCWJ_LUW_rank,cejc_combined_rank,cejc_small_talk_rank,cejc_consultation_rank,cejc_meeting_rank,cejc_class_rank,cejc_outdoors_rank,cejc_school_rank,cejc_transportation_rank,cejc_public_commercial_rank,cejc_home_rank,cejc_indoors_rank,cejc_workplace_rank,cejc_male_rank,cejc_female_rank,ADNO,ANIME_JDRAMA,AOZORA_BUNKO,BCCWJ_SUW,CC100,CHRISKEMPSON,DAVE_DOEBRICK,DD2_MIGAKU_NETFLIX,DD2_MORPHMAN_NETFLIX,DD2_MORPHMAN_NOVELS,DD2_MORPHMAN_SHONEN,DD2_MORPHMAN_SOL,DD2_YOMICHAN_NOVELS,DD2_YOMICHAN_SHONEN,DD2_YOMICHAN_SHONEN_STARS,DD2_YOMICHAN_SOL,DD2_YOMICHAN_VN,HERMITDAVE_2016,HERMITDAVE_2018,HINGSTON,H_FREQ,ILYASEMENOV,INNOCENT_RANKED,JITEN_ANIME,JITEN_AUDIO,JITEN_DRAMA,JITEN_GLOBAL,JITEN_MANGA,JITEN_MOVIE,JITEN_NON_FICTION,JITEN_NOVEL,JITEN_VIDEO_GAME,JITEN_VISUAL_NOVEL,JITEN_WEB_NOVEL,JLAB,JPDB,MALTESAA_CSJ,MALTESAA_CSJ_DOKWA_GAKKAI,MALTESAA_CSJ_DOKWA_MOGI,MALTESAA_CSJ_DOKWA_ROUDOKU,MALTESAA_CSJ_DOKWA_SAIRO,MALTESAA_CSJ_DOKWA_SONOTA,MALTESAA_CSJ_TAIKA_JIYU,MALTESAA_CSJ_TAIKA_KADAI,MALTESAA_CSJ_TAIKA_MOGI,MALTESAA_NWJC,NAROU,NETFLIX,NIER,NOVELS,RSPEER,VN_FREQ,WIKIPEDIA_V2,YOUTUBE_FREQ,YOUTUBE_FREQ_V3
温かい,あたたかい,アタタカイ,4,5,5,4,4,4,5,4,5,4,4,5,4,4,5,2,4,1,4,4,4,4,4,4,3,3,4,1,3,3,4,4,1,1,3,5,1,3,4,4,4,4,3,4,3,4,4,4,4,3,4,4,3,4,4,4,5,4,4,4,4,4,4,3,4,3,5,2,3,4
構成する,-,-,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
恐れ,おそれ,オソレ,4,2,2,3,3,4,3,3,3,3,3,3,3,2,3,4,3,1,4,4,1,4,4,4,3,4,3,4,4,4,3,3,5,5,4,3,1,1,3,3,3,3,3,3,4,3,3,3,3,3,3,3,4,4,5,3,3,3,3,3,4,4,4,4,3,4,4,3,3,3
覗く,のぞく,ノゾク,4,4,4,4,3,4,3,4,3,4,3,4,4,4,4,1,2,1,4,4,4,2,2,3,4,4,4,4,3,3,2,4,1,1,2,4,1,5,2,4,2,4,4,2,3,4,4,4,4,3,4,3,3,4,3,4,4,4,3,3,4,4,2,4,4,2,5,2,3,3
唇,くちびる,クチビル,4,2,2,3,3,4,3,3,3,3,2,3,3,2,2,2,3,5,4,3,3,3,4,3,5,3,3,5,3,3,3,5,3,3,3,5,1,5,3,4,3,4,3,3,3,5,3,5,5,3,3,4,4,3,4,4,5,3,3,3,3,4,3,4,5,3,5,3,3,3
地元,じもと,ジモト,4,4,5,4,4,4,5,5,4,4,4,4,4,4,4,5,4,2,4,4,4,4,4,4,3,3,4,4,3,3,4,3,4,4,4,3,3,3,3,1,4,4,4,4,4,3,3,3,2,3,1,4,3,5,5,4,4,4,4,5,4,3,4,1,4,4,4,4,4,4
人口,じんこう,ジンコウ,4,4,4,3,3,4,3,3,4,4,3,4,2,4,4,5,2,4,4,4,2,3,3,3,3,3,2,3,3,3,2,2,3,3,4,2,5,3,2,1,3,3,3,3,4,3,3,2,3,3,1,4,4,4,4,4,4,4,4,4,3,3,3,1,3,4,2,5,4,4
経済,けいざい,ケイザイ,4,4,4,4,4,4,3,4,3,4,4,3,4,4,3,5,3,4,5,5,3,3,4,4,4,2,3,4,2,2,3,2,4,4,5,2,5,3,2,1,3,3,3,3,4,2,3,2,3,3,1,5,4,5,4,4,4,4,5,4,4,4,3,4,4,5,3,5,4,5
バランス,バランス,バランス,4,4,4,3,4,5,4,4,4,4,4,4,4,4,4,3,3,1,4,5,3,4,4,1,3,1,1,4,3,4,4,4,3,3,4,4,2,3,4,3,4,4,4,3,4,4,4,4,4,4,5,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4
心配する,-,-,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
兄,あに,アニ,4,5,5,4,3,4,5,4,5,5,5,5,4,5,5,4,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,5,4,4,3,4,4,4,4,5,5,5,5,4,5,4,2,5
極く,ごく,ゴク,4,2,2,3,3,4,3,3,3,2,2,2,4,3,2,4,3,1,4,3,2,4,3,3,4,3,3,5,3,3,3,4,3,3,4,1,1,3,3,4,4,4,4,3,4,4,4,5,3,3,5,4,4,4,5,4,4,4,4,4,3,4,4,1,4,3,4,4,3,3
変更,へんこう,ヘンコウ,4,4,3,4,5,4,3,5,3,4,4,3,4,4,4,5,4,3,5,5,4,4,4,4,3,4,3,4,4,4,3,3,4,4,5,4,2,3,4,1,4,4,4,4,5,4,4,4,4,4,1,4,4,4,4,4,3,4,4,4,5,4,4,5,4,5,4,5,4,4
有り方,ありかた,アリカタ,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
契約,けいやく,ケイヤク,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,5,4,3,5,5,4,4,5,5,4,4,4,4,4,4,4,4,4,4,5,4,2,4,4,1,4,4,4,4,4,4,4,3,5,4,1,4,3,4,4,3,3,4,4,3,5,4,4,3,4,5,4,5,4,4
主な,おもな,オモナ,4,2,2,3,3,4,3,4,3,3,2,2,3,2,3,5,1,1,4,4,1,1,2,2,1,2,1,3,2,2,1,1,2,2,1,1,1,1,2,1,3,3,3,2,4,3,3,2,2,2,2,4,4,4,4,3,3,3,4,3,4,3,1,1,3,1,3,1,1,3
デザイン,デザイン,デザイン,4,4,4,4,5,4,4,4,4,4,4,3,5,4,4,5,3,1,4,5,4,4,4,1,3,1,1,3,3,3,4,4,3,3,5,3,4,3,3,1,4,4,4,3,4,4,4,4,3,4,5,4,4,4,4,4,5,4,4,4,5,4,4,3,4,5,4,5,5,5
危険,きけん,キケン,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,5,4,5,4,4,5,5,5,5,5,4,5,5,5,4,5,5,5,4,4,2,5,5,4,4,5,5,4,5,5,5,5,4,5,2,4,4,4,4,4,3,4,4,4,4,5,5,5,5,5,5,4,4,4
細かい,こまかい,コマカイ,4,5,4,5,5,5,4,4,4,4,5,4,5,5,5,3,3,1,4,4,3,3,4,4,4,4,4,4,4,4,4,4,1,1,4,4,1,3,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,5,4,5,5,4,4,4,4,3,4,4,3,4,3,4,4
育つ,そだつ,ソダツ,4,4,4,4,4,4,4,3,3,4,4,4,4,3,4,3,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,3,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,3,5,4,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4
検討,けんとう,ケントウ,4,4,2,4,5,4,3,4,3,3,2,2,5,4,4,4,3,3,5,5,3,3,4,4,3,2,3,4,2,2,3,3,4,4,5,3,1,3,3,3,4,3,3,3,4,3,3,3,3,3,1,5,5,4,4,5,4,4,4,4,4,3,3,4,3,4,3,4,4,5
前提,ぜんてい,ゼンテイ,4,4,3,4,4,4,3,4,4,4,3,3,4,4,3,4,3,3,4,4,3,2,3,2,3,3,3,3,3,3,3,3,2,2,4,3,1,3,3,1,3,4,3,3,5,4,3,4,4,3,1,4,5,4,4,5,4,4,4,4,4,4,2,1,3,4,4,3,4,4
犯人,はんにん,ハンニン,4,3,4,3,3,4,3,3,3,2,4,3,3,4,3,3,5,4,4,3,5,5,5,5,5,4,4,4,4,4,4,4,5,5,4,3,2,5,4,4,4,4,4,5,4,4,4,4,4,4,1,4,3,4,3,3,3,3,3,3,3,4,5,4,5,4,4,3,3,3
高齢者,こうれいしゃ,コウレイシャ,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,4,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,3,1,2,2,3,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,4,4
長さ,-,-,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,4,3,4,3,1,3,3,3,3,4,4,3,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,4,1
遅れる,おくれる,オクレル,4,4,4,4,4,4,3,3,4,5,4,4,4,4,4,2,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,2,4,1,4,4,3,5,5,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4
指導,しどう,シドウ,4,4,4,4,5,4,4,3,4,5,4,4,5,4,4,5,4,4,5,4,4,4,4,4,4,3,4,4,3,3,4,3,4,4,5,4,2,3,3,4,4,4,4,4,4,4,4,3,3,3,2,5,5,4,4,4,5,4,5,5,4,4,4,1,4,4,4,5,5,4
裏,うら,ウラ,4,5,5,5,5,4,5,5,4,5,5,5,5,5,5,4,4,5,4,4,4,4,4,4,5,4,4,5,4,4,4,4,4,4,4,5,2,4,5,5,5,5,5,5,4,5,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,5,4,5,4,5,4
ボール,ボール,ボール,4,5,5,5,4,5,5,4,4,5,4,5,4,5,4,4,5,1,4,4,4,5,5,1,4,1,1,4,5,5,4,4,4,4,4,1,4,4,4,1,4,4,4,4,3,3,4,3,3,4,5,4,4,5,4,4,4,5,4,5,4,4,4,1,4,4,4,4,4,5
消す,けす,ケス,4,5,4,5,4,4,3,5,5,4,5,4,5,5,5,2,5,1,4,4,4,5,5,5,4,5,4,5,5,5,4,4,1,1,2,4,1,4,4,5,5,5,5,5,4,5,5,4,5,4,3,4,4,4,4,3,3,4,5,3,4,4,5,4,4,3,4,3,4,4
勉強,べんきょう,ベンキョウ,4,5,5,5,4,5,5,5,4,5,5,5,5,5,5,3,5,4,5,5,5,5,5,5,4,4,5,4,4,4,5,5,4,4,5,5,1,4,4,4,5,5,5,5,5,4,4,5,5,5,2,5,4,5,4,5,5,5,5,5,5,4,5,4,4,5,5,3,4,5
忙しい,いそがしい,イソガシイ,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,1,5,1,4,4,5,5,5,5,4,4,4,4,4,4,4,4,1,1,4,4,1,4,4,5,5,5,5,5,4,4,5,4,4,4,3,4,3,4,4,4,4,5,5,5,4,4,5,4,4,4,5,2,4,4
会話,かいわ,カイワ,4,5,5,4,5,5,5,5,4,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,1,4,4,5,4,4,4,4,5,5,4,5,5,4,1,5,5,5,4,4,4,5,4,4,4,5,4,4,5,4,5,4,4,4
亡くなる,なくなる,ナクナル,4,5,5,3,4,4,4,4,4,4,5,5,4,4,5,3,5,1,4,4,5,4,4,4,4,3,4,4,3,4,4,3,1,1,2,3,1,4,4,5,5,4,4,5,4,4,4,4,3,4,5,4,4,5,4,5,5,4,4,4,3,4,4,4,4,2,4,4,3,4
形成する,-,-,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
踏まえる,ふまえる,フマエル,4,3,2,4,3,4,4,3,3,2,3,2,4,3,2,1,2,1,4,4,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,1,3,3,2,2,4,3,2,3,3,2,2,4,4,3,4,4,4,4,4,4,3,3,2,1,2,1,3,2,4,4
慌てる,あわてる,アワテル,4,4,4,4,4,4,3,3,4,4,4,4,3,4,4,1,4,1,4,3,4,4,4,4,4,4,4,5,4,4,4,5,1,1,1,4,1,5,4,4,4,4,4,4,3,5,4,5,5,4,4,3,3,4,3,3,3,3,3,3,3,5,4,3,5,1,5,2,3,3
大阪,おおさか,オオサカ,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,4,1,4,4,3,1,1,4,1,1,4,2,2,3,2,3,3,4,2,5,4,2,1,4,3,4,4,4,2,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,4,5,1,5,4,4
高まる,たかまる,タカマル,4,2,1,3,3,4,3,3,3,2,2,2,3,2,2,2,3,1,4,4,3,3,3,3,3,3,2,4,3,3,2,4,1,1,3,4,1,3,3,1,3,4,3,3,4,4,4,4,4,3,2,4,4,4,4,3,4,3,3,4,3,4,3,3,4,3,4,3,4,4
活用する,-,-,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
舞台,ぶたい,ブタイ,4,4,4,3,4,4,4,5,4,4,3,3,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,5,4,4,3,4,4,4,4,4,4,4,4,4,4,1,4,3,4,4,4,5,4,4,4,4,4,4,4,4,4,4,5,4,4
心配,しんぱい,シンパイ,4,5,5,4,4,4,4,4,5,5,5,5,4,4,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,2,4,3,5,4,4,4,4,4,4,4,5,5,5,5,5,5,3,4,4
返事,へんじ,ヘンジ,4,4,4,4,4,4,4,5,3,4,4,4,4,4,4,2,4,5,4,4,4,4,4,4,5,4,4,5,4,4,4,5,4,4,4,4,1,5,4,4,4,5,4,4,4,5,4,5,5,4,2,4,3,4,4,3,4,4,3,4,4,5,4,4,5,4,5,2,3,3
北,きた,キタ,4,4,4,5,4,4,3,3,5,4,4,4,5,4,4,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,1,4,4,4,4,4,4,4,3,3,4,2,4,3,4,4,4,5,5,4,4,4,4,4,3,4,4,4,5,4,4
精神,せいしん,セイシン,4,4,4,4,4,4,4,3,4,4,3,3,4,4,4,4,4,5,5,4,3,4,5,4,5,4,4,5,4,4,4,4,5,5,5,4,2,4,4,3,4,4,4,4,4,4,4,4,5,4,2,4,4,5,5,4,4,5,4,4,4,4,4,4,5,5,4,4,4,4
見なす,みなす,ミナス,4,2,2,2,3,4,3,3,3,2,3,2,2,2,2,2,2,1,4,3,2,3,3,3,2,3,2,3,3,3,2,2,1,1,2,2,1,3,2,1,3,2,2,2,4,2,3,2,3,3,4,4,4,3,4,4,3,4,4,4,3,3,3,1,3,2,3,3,2,2
当たり前,あたりまえ,アタリマエ,4,4,5,5,4,4,4,4,4,5,5,4,4,4,5,2,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,5,1,4,4,5,5,5,4,5,4,4,4,5,5,4,4,4,4,4,5,4,4,4,4,4,4,4,4,3,4,4,5,2,5,4
拡大する,-,-,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
じゃあ,じゃあ,ジャア,4,2,3,2,3,4,3,3,3,2,3,3,2,2,2,1,5,1,1,3,5,5,5,1,5,1,1,5,5,5,5,5,5,5,4,1,2,5,5,5,5,5,5,5,4,5,5,5,5,5,1,1,2,1,1,1,1,1,1,1,1,1,5,5,5,5,1,1,5,5
卵,たまご,タマゴ,4,5,5,4,3,4,4,3,4,5,5,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,1,4,4,4,4,4,4,4,4,3,4,3,4,2,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4
呟く,つぶやく,ツブヤク,4,3,3,2,3,4,3,3,3,3,2,2,3,3,2,1,2,1,4,3,2,2,2,2,4,2,3,4,2,2,2,5,1,1,2,4,1,5,2,3,3,3,2,3,2,4,2,4,5,2,5,2,3,2,2,2,3,2,2,2,3,5,2,3,5,2,5,1,2,2
成果,せいか,セイカ,4,4,3,3,4,5,3,3,3,4,3,2,4,4,4,4,4,3,4,4,3,4,4,4,3,4,3,3,4,4,3,3,4,4,4,3,1,3,4,4,4,4,4,3,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,3,4,4
無し,なし,ナシ,4,5,5,5,5,4,5,5,5,5,5,4,5,5,5,3,2,1,5,4,2,2,3,5,2,5,5,5,3,3,3,3,5,5,4,4,4,2,5,4,2,3,4,2,4,2,3,3,3,1,5,4,5,4,4,5,4,5,4,4,5,5,2,4,3,4,5,3,4,4
住民,じゅうみん,ジュウミン,4,3,2,4,3,4,3,4,3,3,3,2,4,3,2,5,3,3,5,4,3,4,4,4,3,3,3,4,3,3,3,3,4,4,4,2,4,3,3,1,3,3,3,3,4,3,4,3,3,3,1,4,4,4,4,3,3,4,4,4,4,4,4,1,4,4,3,4,4,4
貰える,-,-,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,1,1,1,1,3,1,1,1,1,1,2,4,1,1,2,4,1,1,3,1,2,2,3,1,1,3,2,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,3,1,2,4,3
幸せ,しあわせ,シアワセ,4,4,4,4,3,4,3,3,3,4,4,4,4,4,4,3,5,1,4,5,5,5,5,5,4,4,5,4,4,5,5,5,5,5,4,5,2,4,5,5,5,5,5,5,4,5,5,5,5,5,4,4,3,5,4,4,3,4,4,4,5,4,5,4,5,5,5,3,4,5
十五,じゅうご,ジュウゴ,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,2,1,1,3,3,2,4,4,1,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
勧める,すすめる,ススメル,4,4,4,4,4,4,4,5,5,4,4,4,4,4,4,2,3,1,5,5,3,4,4,4,3,3,3,4,3,3,3,3,1,1,2,3,1,3,3,1,4,4,3,4,4,4,3,4,3,3,4,4,3,5,4,4,3,4,4,4,5,4,3,4,4,2,4,3,3,4
どころ,どころ,ドコロ,4,4,4,3,3,4,4,3,4,4,3,4,4,4,3,3,4,1,4,4,3,3,4,4,4,4,4,5,4,4,4,4,4,4,4,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,3,3,3,3,4,4,1,3,4,4,3,1,2,3,4
政治,せいじ,セイジ,4,4,3,4,4,4,3,3,3,4,4,4,4,4,3,5,3,4,5,4,3,4,4,4,4,3,2,4,3,3,3,3,4,4,5,2,5,4,3,1,3,3,3,3,4,3,3,2,3,3,2,4,4,5,4,4,4,4,5,4,4,4,4,1,4,5,3,5,4,5
訴える,うったえる,ウッタエル,4,3,3,4,3,4,3,3,3,3,4,3,3,3,3,3,4,1,4,4,4,4,4,4,4,3,3,4,3,3,3,4,1,1,3,4,1,4,3,4,4,4,3,4,4,4,3,4,4,3,2,4,4,4,4,3,3,3,3,4,3,4,4,1,4,3,4,3,4,4
満たす,みたす,ミタス,4,3,3,3,4,4,4,3,3,3,3,2,3,3,3,3,3,1,4,4,3,3,4,4,4,3,4,4,3,3,4,4,1,1,3,5,1,4,3,4,4,4,4,3,5,4,4,4,4,3,2,4,4,4,4,4,3,4,4,4,4,4,3,4,4,3,4,4,3,4
対策,たいさく,タイサク,4,4,4,4,4,4,3,3,4,4,3,3,4,4,4,4,4,3,5,5,4,4,4,4,3,4,4,3,4,4,4,3,4,4,5,3,3,3,4,1,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,3,4,4,5,5,4,4,4,4,4,4,4,4,5
正確,せいかく,セイカク,4,3,3,3,4,4,3,3,3,2,3,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,3,4,4,4,4,5,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
保つ,たもつ,タモツ,4,3,3,3,3,4,4,3,3,4,3,4,3,3,3,3,3,1,4,4,4,4,4,4,4,4,3,4,4,4,3,4,1,1,3,4,2,4,4,4,4,4,4,3,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,3,4,4
慣れる,なれる,ナレル,4,5,5,4,4,5,4,5,5,5,4,5,4,4,5,2,4,1,4,4,4,4,4,4,4,4,4,5,4,4,4,5,1,1,2,5,1,4,4,5,5,5,5,4,4,5,4,5,4,4,1,5,4,5,5,4,4,5,4,5,4,5,4,4,5,3,5,2,4,4
歯,は,ハ,4,5,5,4,5,5,4,3,4,5,4,5,4,5,5,4,4,5,4,4,3,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,2,4,4,5,4,4,4,4,4,4,3,4,4,4,5,4,3,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4
構造,こうぞう,コウゾウ,4,3,3,3,4,4,3,3,3,3,3,2,4,4,3,5,3,4,5,4,3,3,3,3,4,3,2,4,3,3,2,3,3,3,5,3,5,4,3,1,3,3,3,3,5,4,4,3,4,3,1,5,5,4,4,4,5,4,4,4,4,4,3,5,4,4,3,5,4,4
発展,はってん,ハッテン,4,4,4,3,4,4,3,4,3,4,3,4,4,4,3,5,3,4,5,4,3,3,3,3,4,3,3,4,3,3,3,3,3,3,4,3,3,3,3,1,4,4,3,4,5,4,4,3,3,3,1,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4
罪,つみ,ツミ,4,2,2,3,3,4,3,3,3,3,2,2,3,2,2,4,5,5,4,4,5,5,5,5,4,4,4,5,4,4,4,4,5,5,4,4,2,4,4,5,4,4,4,5,4,4,4,4,4,4,2,3,3,3,5,3,2,3,3,3,3,4,5,4,4,4,4,4,3,4
素敵,すてき,ステキ,4,5,5,5,4,4,4,5,4,5,5,5,4,4,5,2,4,3,4,5,5,4,4,5,3,4,4,4,3,3,4,4,5,5,4,5,1,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,2,4,4,4,3,3,4,4,5,4,4,4,4,4,4,2,4,4
手段,しゅだん,シュダン,4,3,3,2,3,4,3,3,3,4,2,3,3,3,2,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,3,1,4,4,4,4,4,4,4,5,4,4,4,5,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
特定,とくてい,トクテイ,4,3,3,3,3,4,3,3,3,4,3,3,3,3,3,5,4,3,5,5,4,4,4,4,3,3,3,4,3,3,3,3,4,4,4,3,1,3,3,4,4,4,4,4,5,4,4,3,4,3,1,5,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4
だって,だって,ダッテ,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,5,5,2,1,5,1,1,1,2,2,2,5,1,2,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,5,1,2,5,1,2,5,2
願う,ねがう,ネガウ,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,4,1,5,5,5,4,5,5,4,5,5,5,5,5,5,4,1,1,3,4,1,4,4,5,5,5,5,5,5,5,5,5,5,4,3,5,5,5,4,5,5,5,5,5,5,5,4,5,5,3,5,3,4,5
太陽,たいよう,タイヨウ,4,4,4,4,3,4,3,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,3,4,4,4,5,4,4,4,4,4,4,3,4,4,4,4,4,4
時々,ときどき,トキドキ,4,4,4,4,4,4,4,3,4,4,4,5,4,4,4,2,4,1,4,4,4,4,4,4,4,3,4,4,3,3,4,4,4,4,4,2,3,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,5,5,4,4,4,4,4,1,4,4,4,3,5,4
十三,じゅうさん,ジュウサン,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,2,1,2,2,3,2,3,3,2,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
溢れる,あふれる,アフレル,4,3,4,3,4,4,4,3,3,4,4,2,3,4,3,2,3,1,4,4,4,2,2,4,4,3,3,4,2,2,3,5,1,1,3,5,1,4,4,4,2,4,3,3,4,4,3,5,4,3,4,4,3,4,5,4,3,4,4,4,4,4,2,3,4,3,5,2,4,4
若者,わかもの,ワカモノ,4,4,4,3,3,4,4,4,4,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,3,4,4,4,3,2,4,3,1,4,4,4,4,4,4,4,3,4,4,1,4,4,4,4,4,3,5,5,4,3,4,4,1,4,4,4,3,4,4
記録,きろく,キロク,4,4,4,4,4,4,3,4,5,4,4,3,4,4,4,5,4,4,5,4,4,5,5,5,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,1,4,4,4,4,5,4,5,4,4,4,1,4,4,4,4,4,5,4,4,4,4,4,5,5,4,5,4,5,4,4
つい,つい,ツイ,4,4,4,4,4,5,3,4,4,4,4,4,4,4,4,5,4,5,4,4,4,4,4,4,4,4,4,5,4,4,4,5,4,4,5,4,2,4,4,5,5,5,5,4,4,5,5,5,4,4,5,4,3,4,4,4,4,4,4,4,4,4,4,4,4,5,5,2,4,4
に違いない,-,-,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
てはいけない,てはいけない,テハイケナイ,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
見事,みごと,ミゴト,4,3,3,2,3,4,3,3,4,3,3,3,2,3,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,5,4,4,3,3,3,4,4,4,4,4,4,4,3,4,4
